Epoch: 76, time: 1.753, Train Loss: 5.785e-04,Vali Loss: 6.441e-04, Train l2: 0.1100, Vali l2: 0.1278
Epoch: 77, time: 1.751, Train Loss: 7.064e-04,Vali Loss: 5.855e-04, Train l2: 0.1230, Vali l2: 0.1054
Epoch: 78, time: 1.751, Train Loss: 4.599e-04,Vali Loss: 3.746e-04, Train l2: 0.0983, Vali l2: 0.0866
Epoch: 79, time: 1.753, Train Loss: 4.940e-04,Vali Loss: 5.857e-04, Train l2: 0.1020, Vali l2: 0.1222
Epoch: 80, time: 1.755, Train Loss: 6.022e-04,Vali Loss: 5.652e-04, Train l2: 0.1116, Vali l2: 0.1147
Epoch: 81, time: 1.753, Train Loss: 5.214e-04,Vali Loss: 6.681e-04, Train l2: 0.1056, Vali l2: 0.1125
Epoch: 82, time: 1.753, Train Loss: 5.539e-04,Vali Loss: 5.937e-04, Train l2: 0.1063, Vali l2: 0.1097
Epoch: 83, time: 1.751, Train Loss: 5.653e-04,Vali Loss: 5.815e-04, Train l2: 0.1101, Vali l2: 0.1163
Epoch: 84, time: 1.751, Train Loss: 1.249e-03,Vali Loss: 1.673e-03, Train l2: 0.1653, Vali l2: 0.2218
Epoch: 85, time: 1.750, Train Loss: 2.353e-03,Vali Loss: 1.074e-03, Train l2: 0.2308, Vali l2: 0.1459
Epoch: 86, time: 1.751, Train Loss: 6.084e-04,Vali Loss: 5.921e-04, Train l2: 0.1128, Vali l2: 0.1084
Epoch: 87, time: 1.751, Train Loss: 4.599e-04,Vali Loss: 4.763e-04, Train l2: 0.0992, Vali l2: 0.1011
Epoch: 88, time: 1.750, Train Loss: 6.356e-04,Vali Loss: 6.880e-04, Train l2: 0.1157, Vali l2: 0.1100
Epoch: 89, time: 1.750, Train Loss: 5.018e-04,Vali Loss: 4.803e-04, Train l2: 0.1033, Vali l2: 0.1007
Epoch: 90, time: 1.750, Train Loss: 5.338e-04,Vali Loss: 4.366e-04, Train l2: 0.1049, Vali l2: 0.0978
Epoch: 91, time: 1.750, Train Loss: 5.423e-04,Vali Loss: 5.129e-04, Train l2: 0.1087, Vali l2: 0.1007
Epoch: 92, time: 1.750, Train Loss: 4.618e-04,Vali Loss: 5.205e-04, Train l2: 0.0994, Vali l2: 0.1058
Epoch: 93, time: 1.751, Train Loss: 7.156e-04,Vali Loss: 7.400e-04, Train l2: 0.1202, Vali l2: 0.1232
Epoch: 94, time: 1.751, Train Loss: 5.409e-04,Vali Loss: 4.042e-04, Train l2: 0.1050, Vali l2: 0.0905
Epoch: 95, time: 1.755, Train Loss: 4.136e-04,Vali Loss: 4.365e-04, Train l2: 0.0928, Vali l2: 0.0963
Epoch: 96, time: 1.754, Train Loss: 4.799e-04,Vali Loss: 5.759e-04, Train l2: 0.1001, Vali l2: 0.1138
Epoch: 97, time: 1.753, Train Loss: 4.672e-03,Vali Loss: 1.143e-03, Train l2: 0.2890, Vali l2: 0.1631
Epoch: 98, time: 1.753, Train Loss: 6.094e-04,Vali Loss: 5.246e-04, Train l2: 0.1143, Vali l2: 0.0995
Epoch: 99, time: 1.755, Train Loss: 4.828e-04,Vali Loss: 4.134e-04, Train l2: 0.0989, Vali l2: 0.0965
Epoch: 100, time: 1.754, Train Loss: 2.832e-04,Vali Loss: 3.137e-04, Train l2: 0.0774, Vali l2: 0.0785
Epoch: 101, time: 1.755, Train Loss: 2.477e-04,Vali Loss: 2.539e-04, Train l2: 0.0733, Vali l2: 0.0723
Epoch: 102, time: 1.751, Train Loss: 2.610e-04,Vali Loss: 2.433e-04, Train l2: 0.0749, Vali l2: 0.0710
Epoch: 103, time: 1.752, Train Loss: 2.861e-04,Vali Loss: 3.040e-04, Train l2: 0.0776, Vali l2: 0.0753
Epoch: 104, time: 1.755, Train Loss: 2.831e-04,Vali Loss: 2.667e-04, Train l2: 0.0770, Vali l2: 0.0742
Epoch: 105, time: 1.754, Train Loss: 2.848e-04,Vali Loss: 3.171e-04, Train l2: 0.0779, Vali l2: 0.0846
Epoch: 106, time: 1.752, Train Loss: 2.997e-04,Vali Loss: 2.723e-04, Train l2: 0.0789, Vali l2: 0.0755
Epoch: 107, time: 1.753, Train Loss: 2.632e-04,Vali Loss: 3.501e-04, Train l2: 0.0748, Vali l2: 0.0874
Epoch: 108, time: 1.754, Train Loss: 2.767e-04,Vali Loss: 3.185e-04, Train l2: 0.0781, Vali l2: 0.0820
Epoch: 109, time: 1.752, Train Loss: 2.944e-04,Vali Loss: 3.105e-04, Train l2: 0.0791, Vali l2: 0.0810
Epoch: 110, time: 1.753, Train Loss: 2.857e-04,Vali Loss: 3.056e-04, Train l2: 0.0781, Vali l2: 0.0785
Epoch: 111, time: 1.756, Train Loss: 2.594e-04,Vali Loss: 3.732e-04, Train l2: 0.0756, Vali l2: 0.0871
Epoch: 112, time: 1.754, Train Loss: 3.398e-04,Vali Loss: 4.270e-04, Train l2: 0.0842, Vali l2: 0.0870
Epoch: 113, time: 1.753, Train Loss: 2.742e-04,Vali Loss: 2.823e-04, Train l2: 0.0776, Vali l2: 0.0774
Epoch: 114, time: 1.753, Train Loss: 2.585e-04,Vali Loss: 2.796e-04, Train l2: 0.0763, Vali l2: 0.0766
Epoch: 115, time: 1.753, Train Loss: 2.582e-04,Vali Loss: 2.773e-04, Train l2: 0.0752, Vali l2: 0.0767
Epoch: 116, time: 1.753, Train Loss: 3.227e-04,Vali Loss: 3.657e-04, Train l2: 0.0826, Vali l2: 0.0863
Epoch: 117, time: 1.751, Train Loss: 2.879e-04,Vali Loss: 3.895e-04, Train l2: 0.0794, Vali l2: 0.0962
Epoch: 118, time: 1.751, Train Loss: 2.731e-04,Vali Loss: 3.130e-04, Train l2: 0.0776, Vali l2: 0.0791
Epoch: 119, time: 1.751, Train Loss: 3.097e-04,Vali Loss: 3.311e-04, Train l2: 0.0828, Vali l2: 0.0884
Epoch: 120, time: 1.751, Train Loss: 3.075e-04,Vali Loss: 3.399e-04, Train l2: 0.0813, Vali l2: 0.0830
Epoch: 121, time: 1.751, Train Loss: 2.858e-04,Vali Loss: 2.884e-04, Train l2: 0.0779, Vali l2: 0.0798
Epoch: 122, time: 1.750, Train Loss: 2.889e-04,Vali Loss: 2.843e-04, Train l2: 0.0779, Vali l2: 0.0773
Epoch: 123, time: 1.750, Train Loss: 2.883e-04,Vali Loss: 3.443e-04, Train l2: 0.0788, Vali l2: 0.0818
Epoch: 124, time: 1.751, Train Loss: 2.796e-04,Vali Loss: 2.692e-04, Train l2: 0.0784, Vali l2: 0.0746
Epoch: 125, time: 1.751, Train Loss: 3.172e-04,Vali Loss: 3.009e-04, Train l2: 0.0841, Vali l2: 0.0813
Epoch: 126, time: 1.751, Train Loss: 2.808e-04,Vali Loss: 2.691e-04, Train l2: 0.0794, Vali l2: 0.0769
Epoch: 127, time: 1.750, Train Loss: 2.968e-04,Vali Loss: 3.221e-04, Train l2: 0.0791, Vali l2: 0.0791
Epoch: 128, time: 1.750, Train Loss: 3.035e-04,Vali Loss: 2.986e-04, Train l2: 0.0800, Vali l2: 0.0772
